step1
1046,1062,891,1515,1436,1047,1017,922,1229,1167,999,1049,1190,975,999,1066,942,942
1047,1064,892,1514,1437,1046,1017,922,1229,1167,998,1050,1190,975,998,1067,942,942
1048,1065,891,1515,1437,1047,1017,923,1230,1166,998,1048,1190,974,998,1068,943,943
1049,1066,892,1514,1438,1048,1017,923,1229,1166,998,1049,1192,974,998,1068,944,944
1049,1066,892,1515,1436,1048,1018,923,1229,1166,999,1049,1191,975,999,1068,943,943
1049,1065,892,1515,1437,1047,1018,923,1228,1167,999,1049,1192,975,999,1068,943,943
1049,1065,892,1514,1436,1047,1017,922,1229,1166,999,1050,1192,976,999,1068,944,944
1048,1065,892,1515,1436,1047,1017,923,1229,1166,999,1050,1191,976,999,1068,943,943
1047,1066,891,1514,1437,1047,1017,922,1229,1166,999,1050,1191,975,999,1068,942,942
1047,1064,891,1514,1435,1047,1017,921,1229,1167,999,1049,1191,974,999,1067,943,943
1047,1066,891,1513,1437,1047,1017,922,1228,1167,1000,1050,1190,975,1000,1068,943,943
1048,1067,892,1514,1435,1047,1018,923,1230,1167,1000,1049,1191,975,1000,1068,942,942
1049,1065,891,1513,1436,1048,1017,923,1229,1167,1001,1050,1191,974,1001,1067,942,942
1048,1065,892,1513,1434,1048,1017,923,1229,1167,999,1050,1191,975,999,1067,942,942
1048,1064,892,1514,1437,1048,1017,922,1229,1166,1000,1049,1191,975,1000,1068,942,942
1050,1066,892,1515,1436,1048,1016,922,1228,1165,1000,1050,1192,975,1000,1068,943,943
1049,1065,892,1514,1437,1046,1016,922,1230,1166,999,1050,1191,976,999,1067,943,943
1049,1065,892,1516,1438,1048,1017,921,1229,1166,1001,1050,1192,976,1001,1069,943,943
1050,1066,893,1515,1437,1049,1017,922,1229,1167,1000,1050,1192,976,1000,1069,944,944
1050,1066,891,1516,1439,1049,1018,923,1228,1168,1001,1050,1193,976,1001,1068,943,943
1049,1066,893,1516,1437,1048,1017,923,1229,1167,999,1050,1194,976,999,1068,943,943
1050,1066,893,1514,1437,1047,1016,922,1229,1167,999,1050,1192,976,999,1068,943,943
1049,1066,891,1512,1437,1048,1016,922,1230,1167,1000,1050,1191,975,1000,1067,943,943
1049,1066,892,1512,1435,1047,1017,922,1229,1167,999,1050,1191,974,999,1067,942,942
1047,1064,892,1514,1436,1046,1016,922,1229,1167,999,1050,1191,974,999,1067,943,943
1047,1064,891,1513,1435,1047,1016,922,1229,1166,1000,1050,1192,975,1000,1067,943,943
1047,1064,891,1513,1436,1048,1016,922,1229,1167,1000,1050,1192,976,1000,1067,943,943
1049,1065,892,1514,1437,1048,1017,922,1229,1167,1000,1050,1192,977,1000,1067,943,943
1049,1065,892,1514,1437,1048,1017,922,1229,1167,1000,1050,1193,977,1000,1067,944,944
1049,1066,892,1514,1437,1049,1016,921,1230,1167,999,1050,1191,976,999,1067,944,944
1049,1065,892,1516,1437,1048,1016,922,1229,1166,999,1050,1192,976,999,1067,943,943
1051,1066,891,1514,1437,1049,1015,922,1229,1166,998,1049,1192,976,998,1067,944,944
1049,1065,892,1514,1437,1048,1015,922,1229,1166,999,1049,1192,976,999,1066,943,943
1048,1064,891,1515,1437,1048,1016,922,1229,1167,998,1050,1191,974,998,1067,943,943
1047,1065,891,1514,1436,1047,1016,922,1229,1166,999,1050,1192,975,999,1066,943,943
1049,1063,891,1513,1437,1047,1016,922,1230,1167,999,1050,1192,976,999,1067,943,943
1048,1065,891,1513,1437,1047,1017,923,1230,1166,1000,1051,1192,976,1000,1067,944,944
1048,1064,891,1513,1437,1048,1016,922,1229,1167,1000,1050,1192,977,1000,1066,943,943
1048,1064,892,1514,1437,1048,1016,921,1229,1168,1000,1050,1193,975,1000,1068,943,943
1049,1065,892,1515,1437,1048,1015,923,1230,1166,999,1050,1193,976,999,1066,943,943
1049,1066,891,1514,1437,1049,1016,921,1228,1167,999,1050,1192,976,999,1067,943,943
1049,1064,891,1517,1438,1048,1015,921,1229,1166,999,1050,1192,975,999,1066,943,943
1051,1065,891,1515,1437,1049,1016,922,1230,1167,999,1050,1193,977,999,1066,943,943
1049,1066,892,1515,1437,1048,1017,922,1230,1167,1000,1051,1192,977,1000,1066,943,943
1049,1064,892,1514,1438,1048,1017,923,1229,1167,1000,1050,1192,976,1000,1067,943,943
1049,1065,890,1514,1437,1048,1016,922,1229,1166,999,1050,1193,977,999,1067,943,943
1047,1063,890,1514,1437,1047,1016,922,1229,1167,999,1050,1193,977,999,1066,944,944
1047,1065,890,1514,1437,1047,1016,922,1229,1167,998,1049,1192,976,998,1067,943,943
1048,1064,890,1513,1437,1047,1016,922,1229,1166,999,1050,1193,977,999,1066,942,942
1047,1064,890,1515,1438,1048,1016,922,1228,1167,999,1049,1192,976,999,1066,944,944
